name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Carrier Bay Compatible,alice_fightermod,,,,,,,,TRUE,,0,0,0,0,com.github.alycecil.hullmods.AliceFighterMod,It's a mod on a fighter; you shouldn't see this. But it just is some bonuses to make the ship work better as a fighter not the origional hulls.,Fighter Wing Conversion.,,graphics/hullmods/bulk_missile_storage.png
Wing Commander Relay,alice_wingcommander_relay,,,,,,,,TRUE,,0,0,0,0,com.github.alycecil.hullmods.AliceWingCommanderMod,A command suite and a re-enforced frame coated with armor that would make the XIVth Fleet jealous.,CNC Frigate.,,graphics/hullmods/shared_flux_sink.png
Domain Era Armoring,alice_losttech,3,,Domain Restricted Technology,"req_spaceport, merc","Special, Logistics, Requires Dock",100000,,TRUE,,0,0,0,0,com.github.alycecil.hullmods.LostTech,A command suite and a re-enforced frame coated with armor that would make the XIVth Fleet jealous; not to mention the systems overhaul. Just be sure to keep it in pristine condition or suffer significant dmod effect multipliers.,LostTech.,,graphics/hullmods/targeting_supercomputer.png
Domain Era Fighter Control,alice_fighter_control,3,,Domain Restricted Technology,"req_spaceport, merc","Special, Logistics, Requires Dock",100000,,TRUE,,0,0,0,0,com.github.alycecil.hullmods.FighterControl,An advanced command suite that gives fighters direct commands on when to return.,LostTech.,,graphics/hullmods/assault_package.png
Domain Era Shielding,alice_losttech_shields,3,,Domain Restricted Technology,"req_spaceport, merc","Special, Logistics, Requires Dock",100000,,TRUE,,0,0,0,0,com.github.alycecil.hullmods.ShieldLostTech,Domain era technology that allows this ship to outperform others in class Just be sure to keep it in pristine condition or suffer significant dmod effect multipliers.,LostTech.,,graphics/hullmods/omni_shield_emitter.png
Domain Era Auto-Loader,alice_losttech_autoloader,3,,Domain Restricted Technology,"req_spaceport, merc","Special, Logistics, Requires Dock",100000,,TRUE,,0,0,0,0,com.github.alycecil.hullmods.AutoLoaderLostTech,Domain era technology that allows this ship to outperform others in class Just be sure to keep it in pristine condition or suffer significant dmod effect multipliers.,LostTech.,,graphics/hullmods/missile_autofactory.png
Domain Era Fighter Hot Resupply,alice_losttech_hot_resupply,3,,Domain Restricted Technology,"req_spaceport, merc","Special, Logistics, Requires Dock",100000,,TRUE,,0,0,0,0,com.github.alycecil.hullmods.HotResupply,"Allows the fighter bay to print muntions and using technology used for mine laying due to inherently chaotic nature of teleportion to overcome those challenges and usually load the munitions without docking. Sometimes, this results in horrific loss of the fighter craft",LostTech.,,graphics/hullmods/missile_autofactory.png
Domain Era Active Defense Control,alice_losttech_pd,3,,Domain Restricted Technology,"req_spaceport, merc","Special, Logistics, Requires Dock",100000,,TRUE,,0,0,0,0,com.github.alycecil.hullmods.PDLostTech,Domain era technology that allows this ship to outperform others in class Just be sure to keep it in pristine condition or suffer significant dmod effect multipliers.,LostTech.,,graphics/hullmods/escort_package.png
Domain Era Fire Control,alice_losttech_fire_control,3,,Domain Restricted Technology,"req_spaceport, merc","Special, Logistics, Requires Dock",100000,,TRUE,,0,0,0,0,com.github.alycecil.hullmods.FireControlLostTech,Domain era technology that allows this ship to outperform others in class Just be sure to keep it in pristine condition or suffer significant dmod effect multipliers.,LostTech.,,graphics/hullmods/targeting_core.png
Domain Era Wiring,alice_losttech_wiring,3,,Domain Restricted Technology,"req_spaceport, merc","Special, Logistics, Requires Dock",100000,,TRUE,,0,0,0,0,com.github.alycecil.hullmods.WiringLostTech,Domain era technology that allows this ship to outperform others in class Just be sure to keep it in pristine condition or suffer significant dmod effect multipliers.,LostTech.,,graphics/hullmods/shared_flux_sink.png
